date,wordle_id,word,part_of_speech,frequency,percentile_word,avg_yellow_squares,avg_green_squares,avg_b/w_squares,avg_num_of_tries,number_of_players,1/# tries,(1/#tries)^2 *100
1/15/2022,210,panic,n,19.023,0.711,2.956,8.185,7.943,3.815,2829,0.2621143334,6.870392375
1/16/2022,211,solar,adj,28.934,0.800,4.178,8.609,6.691,3.897,2882,0.2565883191,6.583756549
1/17/2022,212,shire,n,1.649,0.289,3.024,9.758,6.428,3.842,2392,0.2602545969,6.77324552
1/18/2022,213,proxy,n,6.166,0.533,1.885,10.220,10.945,4.613,2110,0.2167882462,4.699714368
1/19/2022,214,point,n,538.817,0.956,2.020,8.536,7.313,3.569,2693,0.2801706201,7.849557634
1/20/2022,215,robot,n,9.344,0.600,2.973,8.052,8.392,3.884,2937,0.2574960547,6.630421819
1/21/2022,216,prick,n,2.125,0.333,1.608,9.469,8.222,3.860,6066,0.2590647021,6.711451988
1/22/2022,217,wince,v,0.753,0.178,2.721,9.951,8.871,4.308,2941,0.2321231255,5.388114539
1/23/2022,218,crimp,n,0.586,0.133,2.316,9.223,8.129,3.930,3464,0.254462646,6.475123821
1/24/2022,219,knoll,n,1.714,0.311,3.353,8.040,11.644,4.608,2896,0.2169938558,4.708633347
1/25/2022,220,sugar,n,55.389,0.889,4.072,8.228,8.055,4.072,6621,0.2455769445,6.030803566
1/26/2022,221,whack,n,0.872,0.222,1.790,9.297,9.470,4.111,6610,0.24322932,5.91605021
1/27/2022,222,mount,n,31.737,0.822,2.067,9.174,8.111,3.869,6721,0.2584602369,6.680169405
1/28/2022,223,perky,adj,0.386,0.111,2.946,9.769,9.104,4.364,15698,0.2291678832,5.25179187
1/29/2022,224,could,v,45.439,0.844,2.060,9.104,8.364,3.906,6887,0.2560318227,6.555229426
1/30/2022,225,wrung,v,1.561,0.267,2.033,9.734,9.466,4.247,6860,0.2354718017,5.544696941
1/31/2022,226,light,n,340.002,0.933,2.766,8.387,8.249,3.879,6078,0.2578264189,6.64744623
2/1/2022,227,those,n,587.175,0.978,3.240,8.598,6.289,3.626,6791,0.2757878493,7.60589378
2/2/2022,228,moist,adj,10.064,0.622,2.560,8.740,7.246,3.710,5980,0.2695636495,7.266456112
2/3/2022,229,shard,n,0.321,0.089,2.721,10.746,7.083,4.110,6463,0.2432900433,5.919004516
2/4/2022,230,pleat,n,0.231,0.022,4.172,8.931,6.220,3.863,6637,0.2588533541,6.700505895
2/5/2022,231,aloft,adv,3.001,0.378,3.755,9.131,7.784,4.134,7782,0.2419174335,5.852404462
2/6/2022,232,skill,n,48.381,0.867,2.454,9.751,9.411,4.322,3307,0.2313881892,5.35404941
2/7/2022,233,elder,n,20.061,0.756,4.148,9.531,9.201,4.576,6428,0.218520533,4.775122336
2/8/2022,234,frame,n,65.713,0.911,2.468,10.547,7.515,4.107,6194,0.2435035578,5.929398267
2/9/2022,235,humor,n,20.768,0.778,4.264,7.819,8.833,4.182,6459,0.2391159485,5.717643681
2/10/2022,236,pause,n,20.012,0.733,3.358,9.898,6.892,4.029,10004,0.2481889451,6.159775248
2/11/2022,237,ulcer,n,8.373,0.578,4.699,8.762,8.290,4.350,10115,0.2298602432,5.283573138
2/12/2022,238,ultra,adj,6.748,0.556,6.110,6.899,7.606,4.123,7048,0.2425243453,5.881805808
2/13/2022,239,robin,n,12.072,0.644,3.517,8.152,8.330,4.000,5015,0.2500124632,6.250623177
2/14/2022,240,cynic,n,1.124,0.244,3.070,8.082,11.525,4.534,6384,0.2205486078,4.864168838
2/15/2022,241,aroma,n,2.980,0.356,3.400,8.450,8.553,4.080,6806,0.2450846237,6.006647277
2/16/2022,242,caulk,v,0.267,0.067,2.792,9.166,9.109,4.213,3198,0.2373459997,5.633312358
2/17/2022,243,shake,v,17.994,0.689,2.247,12.126,7.207,4.316,2762,0.2317114094,5.369017724
2/18/2022,244,dodge,n,5.923,0.511,2.332,9.645,10.224,4.441,3337,0.2251838856,5.070778231
2/19/2022,245,swill,n,0.251,0.044,2.000,11.723,10.357,4.816,2919,0.2076397781,4.311427743
2/20/2022,246,tacit,adj,4.595,0.444,3.070,8.983,8.917,4.194,3312,0.238427759,5.684779625
2/21/2022,247,other,adj,2162.911,1.000,5.121,7.971,6.633,3.945,3505,0.2534895494,6.425695167
2/22/2022,248,thorn,n,4.358,0.422,3.526,7.447,6.682,3.531,3582,0.2832292243,8.021879351
2/23/2022,249,trove,n,0.595,0.156,2.706,11.832,7.306,4.368,6186,0.2289499981,5.241810165
2/24/2022,250,bloke,n,0.827,0.200,2.270,9.430,8.919,4.124,7076,0.24247824,5.879569688
2/25/2022,251,vivid,adj,13.314,0.667,1.368,8.641,13.146,4.629,9013,0.2160147637,4.666237813
2/26/2022,252,spill,n,5.003,0.489,2.397,9.104,8.804,4.060,6115,0.2463044266,6.066587058
2/27/2022,253,chant,n,4.966,0.467,2.235,9.159,7.359,3.750,7356,0.2666376686,7.109564629
2/28/2022,254,choke,v,3.149,0.400,1.882,9.149,8.100,3.826,7131,0.2613523914,6.83050725
